,time(ms),a_x, a_y, a_z
,4303,0.040000, 0.423077, 0.880000
,4316,0.040000, 0.423077, 0.880000
,4324,0.040000, 0.423077, 0.920000
,4334,0.040000, 0.423077, 0.960000
,4344,0.040000, 0.461538, 1.000000
,4355,0.040000, 0.461538, 1.000000
,4365,0.040000, 0.461538, 0.960000
,4373,0.040000, 0.461538, 0.960000
,4383,0.040000, 0.500000, 0.920000
,4396,0.040000, 0.500000, 0.880000
,4404,0.040000, 0.461538, 0.800000
,4414,0.040000, 0.461538, 0.760000
,4428,0.080000, 0.461538, 0.760000
,4445,0.040000, 0.500000, 0.800000
,4453,0.040000, 0.538462, 0.880000
,4467,0.000000, 0.538462, 0.920000
,4476,0.000000, 0.538462, 0.920000
,4484,0.000000, 0.538462, 0.920000
,4498,0.000000, 0.538462, 0.880000
,4508,0.000000, 0.500000, 0.880000
,4515,-0.040000, 0.538462, 0.880000
,4529,-0.040000, 0.538462, 0.880000
,4539,0.000000, 0.538462, 0.880000
,4547,0.040000, 0.538462, 0.880000
,4556,0.040000, 0.538462, 0.880000
,4570,0.000000, 0.538462, 0.840000
,4578,0.000000, 0.500000, 0.800000
,4588,0.000000, 0.538462, 0.800000
,4596,0.000000, 0.538462, 0.800000
,4609,0.040000, 0.538462, 0.840000
,4619,0.000000, 0.538462, 0.880000
,4627,0.000000, 0.576923, 0.920000
,4640,0.000000, 0.576923, 0.920000
,4650,0.000000, 0.576923, 0.920000
,4658,0.000000, 0.538462, 0.920000
,4668,0.000000, 0.538462, 0.840000
,4681,-0.040000, 0.538462, 0.800000
,4689,0.000000, 0.500000, 0.800000
,4697,0.000000, 0.538462, 0.800000
,4713,0.000000, 0.538462, 0.840000
,4721,0.000000, 0.538462, 0.880000
,4730,0.000000, 0.538462, 0.920000
,4738,-0.040000, 0.538462, 0.960000
,4752,-0.040000, 0.576923, 1.000000
,4767,0.000000, 0.576923, 1.080000
,4777,0.000000, 0.576923, 1.160000
,4779,0.000000, 0.576923, 1.160000
,4791,0.000000, 0.538462, 1.120000
,4801,-0.040000, 0.461538, 1.000000
,4810,-0.120000, 0.384615, 0.880000
,4822,-0.120000, 0.346154, 0.800000
,4832,-0.080000, 0.307692, 0.760000
,4842,-0.040000, 0.307692, 0.760000
,4849,-0.040000, 0.307692, 0.800000
,4863,-0.080000, 0.307692, 0.880000
,4873,-0.080000, 0.307692, 0.960000
,4881,-0.080000, 0.346154, 1.040000
,4894,-0.040000, 0.346154, 1.120000
,4902,0.000000, 0.346154, 1.120000
,4912,-0.040000, 0.269231, 1.080000
,4922,-0.040000, 0.230769, 1.000000
,4935,-0.040000, 0.192308, 0.960000
,4943,-0.080000, 0.115385, 0.920000
,4953,-0.080000, 0.076923, 0.920000
,4967,-0.080000, 0.038462, 0.960000
,4974,-0.120000, 0.000000, 1.000000
,4982,-0.160000, -0.038462, 1.040000
,4992,-0.160000, -0.038462, 1.000000
,5006,-0.160000, -0.038462, 1.000000
,5015,-0.120000, -0.076923, 0.960000
,5023,-0.040000, -0.076923, 0.920000
,5035,-0.040000, -0.076923, 0.920000
,5043,0.000000, -0.076923, 0.960000
,5056,0.040000, -0.115385, 1.000000
,5066,0.000000, -0.153846, 1.000000
,5074,-0.040000, -0.230769, 0.960000
,5088,-0.120000, -0.269231, 0.920000
,5097,-0.160000, -0.307692, 0.880000
,5105,-0.120000, -0.307692, 0.840000
,5115,-0.120000, -0.346154, 0.800000
,5129,-0.040000, -0.346154, 0.840000
,5137,0.000000, -0.346154, 0.880000
,5146,0.000000, -0.346154, 0.920000
,5160,-0.040000, -0.346154, 0.960000
,5174,-0.080000, -0.346154, 0.960000
,5176,-0.080000, -0.384615, 0.960000
,5187,-0.080000, -0.384615, 0.960000
,5197,-0.040000, -0.423077, 0.920000
,5211,0.000000, -0.461538, 0.880000
,5221,0.040000, -0.461538, 0.840000
,5228,0.040000, -0.461538, 0.800000
,5236,0.040000, -0.461538, 0.800000
,5252,0.000000, -0.500000, 0.800000
,5260,0.000000, -0.538462, 0.800000
,5267,-0.040000, -0.576923, 0.840000
,5277,-0.040000, -0.615385, 0.840000
,5291,-0.080000, -0.615385, 0.800000
,5301,-0.080000, -0.576923, 0.800000
,5308,-0.080000, -0.538462, 0.840000
,5322,-0.040000, -0.538462, 0.800000
,5332,0.000000, -0.538462, 0.720000
,5340,0.000000, -0.576923, 0.680000
,5353,0.040000, -0.615385, 0.680000
,5361,0.000000, -0.653846, 0.640000
,5371,-0.040000, -0.692308, 0.640000
,5381,-0.040000, -0.692308, 0.640000
,5392,-0.080000, -0.692308, 0.640000
,5402,-0.040000, -0.692308, 0.600000
,5412,-0.080000, -0.692308, 0.600000
,5426,-0.080000, -0.730769, 0.600000
,5433,-0.080000, -0.692308, 0.640000
,5441,-0.040000, -0.692308, 0.680000
,5451,-0.040000, -0.653846, 0.720000
,5465,0.000000, -0.653846, 0.760000
,5472,0.000000, -0.615385, 0.800000
,5482,0.040000, -0.615385, 0.800000
,5496,0.000000, -0.615385, 0.840000
,5506,-0.040000, -0.615385, 0.800000
,5513,-0.040000, -0.653846, 0.720000
,5521,-0.040000, -0.653846, 0.680000
,5535,-0.040000, -0.692308, 0.640000
,5545,-0.040000, -0.692308, 0.640000
,5553,-0.040000, -0.692308, 0.600000
,5566,-0.040000, -0.692308, 0.640000
,5576,0.000000, -0.653846, 0.680000
,5586,0.000000, -0.615385, 0.720000
,5594,0.000000, -0.576923, 0.800000
,5607,0.000000, -0.576923, 0.840000
,5617,0.000000, -0.538462, 0.880000
,5625,0.000000, -0.538462, 0.880000
,5633,0.000000, -0.500000, 0.880000
,5646,0.000000, -0.500000, 0.840000
,5656,0.040000, -0.500000, 0.800000
,5666,0.000000, -0.500000, 0.760000
,5678,-0.040000, -0.500000, 0.720000
,5687,-0.040000, -0.500000, 0.720000
,5695,-0.040000, -0.500000, 0.720000
,5705,-0.040000, -0.461538, 0.800000
,5719,0.000000, -0.384615, 0.880000
,5726,0.000000, -0.346154, 0.960000
,5736,0.000000, -0.307692, 1.000000
,5750,-0.040000, -0.269231, 1.040000
,5758,-0.040000, -0.269231, 1.040000
,5767,0.000000, -0.269231, 1.040000
,5775,0.000000, -0.269231, 1.000000
,5791,-0.040000, -0.269231, 1.000000
,5799,-0.040000, -0.269231, 0.960000
,5806,-0.040000, -0.269231, 0.920000
,5820,-0.040000, -0.269231, 0.880000
,5830,-0.040000, -0.269231, 0.840000
,5838,-0.040000, -0.230769, 0.840000
,5847,-0.080000, -0.192308, 0.840000
,5861,-0.040000, -0.153846, 0.920000
,5871,0.000000, -0.076923, 0.920000
,5879,0.040000, -0.038462, 1.000000
,5892,0.040000, 0.000000, 1.040000
,5900,0.040000, 0.000000, 1.080000
,5910,0.040000, 0.000000, 1.040000
,5923,0.040000, 0.000000, 1.000000
,5932,0.040000, 0.000000, 0.920000
,5940,0.040000, 0.000000, 0.840000
,5950,0.040000, 0.038462, 0.760000
,5964,0.000000, 0.076923, 0.800000
,5972,-0.040000, 0.153846, 0.920000
,5981,-0.040000, 0.192308, 1.040000
,5995,-0.040000, 0.269231, 1.120000
,6005,0.000000, 0.307692, 1.160000
,6013,0.000000, 0.307692, 1.160000
